l_ukrainian:
 MIGRATION_COST:0 "Вартість міграції"
 COUNTRY_HAS_BEEN_PILLAGED_2:0 "Столиця нашого володіння $STATE$"
 COUNTRY_HAS_BEEN_PILLAGED_3:0 "розграбував безжальний"
 COUNTRY_HAS_BEEN_PILLAGED_4:0 "§Y$ACTUALTAKER$§!"
 COUNTRY_HAS_BEEN_PILLAGED_5:0 "Вони забрали $DEV$ розвитку."
 COUNTRY_HAS_BEEN_PILLAGED_LOG:0 "Столицю нашого володіння було розграбовано."
 COUNTRY_HAS_BEEN_PILLAGED_BTN1:0 "Гаразд"
 COUNTRY_HAS_BEEN_PILLAGED_BTN2:0 "Гаразд"
 COUNTRY_HAS_BEEN_PILLAGED_BTN3:0 "Перейти"
 ESTATE_LED_REGENCY_HAS_ATTRIBUTE:0 "$ESTATE|Y$ regency has at least $VALUE|Y$ $ATTRIBUTE$.\n"
 ESTATE_LED_REGENCY_HAS_NOT_ATTRIBUTE:0 "$ESTATE|Y$ regency has less than $VALUE|Y$ $ATTRIBUTE$.\n"
 IS_SUBJECT_TYPE_OF:0 "$SUBJECTTYPE$ держави $WHO$.\n"
 IS_NOT_SUBJECT_TYPE_OF:0 "Не $SUBJECTTYPE$ держави $WHO$.\n"
 HAS_SUBJECT_TYPE:0 "Has a $SUBJECTTYPE$.\n"
 HAS_NOT_SUBJECT_TYPE:0 "Has no $SUBJECTTYPE$.\n"
 HAS_RELIGION:0 "Релігія в провінції $PROVINCE|Y$ - $RELIGION|Y$"
 HAS_NOT_RELIGION:0 "Релігія в провінції $PROVINCE|Y$ не $RELIGION|Y$"
 BREAK_ALLIANCE_CANNOT_COST:0 "You need at least §Y$COST$§! Favors with §Y$COUNTRY$§! to ask them to Break an Alliance."
 BREAK_ALLIANCE_CANNOT_OPINION:0 "You need at least §Y$OPINION$§! Opinion with §Y$COUNTRY$§! to ask them to Break an Alliance."
 BREAK_ALLIANCE_CANNOT_NOT_ALLIES:0 "You need to be allied with §Y$COUNTRY$§! to ask them to Break an Alliance."
 FORCEBREAKALLIANCEDESC_NON_GREAT_POWER:0 "If they accept, $WITH|Y$ will have a lowered opinion of us and get a Casus Belli on us.\nThis will cost us $FAVOURS$ Favors.\nThis will also create a truce between $COUNTRY|Y$ and $WITH$."
 USING_FAVORS:0 "Using Favors: "
 refused_to_break_alliance_favor:0 "Відмовились розірвати союз"
 BREAKALLIANCE_FAVORTITLE:0 "Розірвати союз"
 BREAK_ALLIANCE_FAVOR_DESC2:0 "Витратьте $FAVOR|Y$ прихильності, щоб змусити їх розірвати один із своїх військових союзів."
 BREAK_ALLIANCE_FAVOR_DESC:0 "Ми попросимо, щоб держава $THEM|Y$ розірвала свій союз з державою $WITH|Y$."
 BREAK_ALLIANCE_FAVOR_REQDES1:0 "Держава $ACTOR|Y$ просить як ласку, щоб ми розірвали наш союз з державою $THEM|Y$.\nЦе призведе до перемир’я між нами та державою $ACTOR|Y$ і анулює інші дипломатичні договори, укладені з державою $THEM|Y$."
 WEFORCEDBREAKALLIANCE_FAVOR_TITLE:0 "Розірвати союз"
 WEFORCEDBREAKALLIANCE_FAVOR_SETUP:0 "Коли ми просимо державу розірвати союз як ласку."
 WEFORCEDBREAKALLIANCE_FAVOR_HEADER:0 "$MESSENGER$"
 WEFORCEDBREAKALLIANCE_FAVOR_1:0 "Розірвати союз"
 WEFORCEDBREAKALLIANCE_FAVOR_2:0 "$MONARCHTITLE$, ми попросили державу $RECIPIENT$"
 WEFORCEDBREAKALLIANCE_FAVOR_3:0 "розірвати їхній союз"
 WEFORCEDBREAKALLIANCE_FAVOR_4:0 "з державою $WITH|Y$ @$TAG$ як ласку для нас."
 WEFORCEDBREAKALLIANCE_FAVOR_5:0 "Держава $RECIPIENT$ отримає"
 WEFORCEDBREAKALLIANCE_FAVOR_6:0 "перемир'я з державою $WITH$ до $TRUCEDATE|Y$."
 WEFORCEDBREAKALLIANCE_FAVOR_LOG:0 "Ми попросили державу $RECIPIENT$ розірвати їхній союз з державою $WITH$ як ласку."
 WEFORCEDBREAKALLIANCE_FAVOR_BTN1:0 "Гаразд"
 WEFORCEDBREAKALLIANCE_FAVOR_BTN2:0 "Гаразд"
 WEFORCEDBREAKALLIANCE_FAVOR_BTN3:0 "Перейти"
 FORCEDBREAKALLIANCE_FAVOR_TITLE:0 "Розірвати союз"
 FORCEDBREAKALLIANCE_FAVOR_SETUP:0 "Коли держава просить нас розірвати союз як ласку."
 FORCEDBREAKALLIANCE_FAVOR_HEADER:0 "Вісник держави"
 FORCEDBREAKALLIANCE_FAVOR_1:0 "$ACTOR$"
 FORCEDBREAKALLIANCE_FAVOR_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 FORCEDBREAKALLIANCE_FAVOR_3:0 "Просить розірвати союз"
 FORCEDBREAKALLIANCE_FAVOR_4:0 "з державою $WITH|Y$ @$TAG$ як ласку."
 FORCEDBREAKALLIANCE_FAVOR_5:0 "Перемир'я з державою $WITH$ до $TRUCEDATE|Y$."
 FORCEDBREAKALLIANCE_FAVOR_6:0 "Ми раді допомогти нашим союзникам!"
 FORCEDBREAKALLIANCE_FAVOR_LOG:0 "Держава $ACTOR$ просить нас розірвати наш союз з державою $WITH$."
 FORCEDBREAKALLIANCE_FAVOR_BTN1:0 "Гаразд"
 FORCEDBREAKALLIANCE_FAVOR_BTN2:0 "Гаразд"
 FORCEDBREAKALLIANCE_FAVOR_BTN3:0 "Перейти"
 OTHERFORCEDBREAKALLIANCE_FAVOR_TITLE:0 "Розірвати союз"
 OTHERFORCEDBREAKALLIANCE_FAVOR_SETUP:0 "Коли держава просить іншу державу розірвати союз."
 OTHERFORCEDBREAKALLIANCE_FAVOR_HEADER:0 "Вісник держави"
 OTHERFORCEDBREAKALLIANCE_FAVOR_1:0 "$ACTOR$"
 OTHERFORCEDBREAKALLIANCE_FAVOR_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 OTHERFORCEDBREAKALLIANCE_FAVOR_3:0 "попросила державу $RECIPIENT$ розірвати союз"
 OTHERFORCEDBREAKALLIANCE_FAVOR_4:0 "з державою $WITH|Y$ @$TAG$ як ласку."
 OTHERFORCEDBREAKALLIANCE_FAVOR_6:0 "Відчувається невпевненість у тому, що станеться далі..."
 OTHERFORCEDBREAKALLIANCE_FAVOR_LOG:0 "Держава $ACTOR$ попросила державу $RECIPIENT$ розірвати союз з державою $WITH$ як ласку."
 OTHERFORCEDBREAKALLIANCE_FAVOR_BTN1:0 "Гаразд"
 OTHERFORCEDBREAKALLIANCE_FAVOR_BTN2:0 "Гаразд"
 OTHERFORCEDBREAKALLIANCE_FAVOR_BTN3:0 "Перейти"
 FORCEDALLYBREAKALLIANCE_FAVOR_TITLE:0 "Розірвати союз"
 FORCEDALLYBREAKALLIANCE_FAVOR_SETUP:0 "Коли держава просить нашого союзника розірвати союз з нами."
 FORCEDALLYBREAKALLIANCE_FAVOR_HEADER:0 "Вісник держави"
 FORCEDALLYBREAKALLIANCE_FAVOR_1:0 "$ACTOR$"
 FORCEDALLYBREAKALLIANCE_FAVOR_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 FORCEDALLYBREAKALLIANCE_FAVOR_3:0 "Попросила нашого союзника, державу $RECIPIENT$, розірвати їхній союз"
 FORCEDALLYBREAKALLIANCE_FAVOR_4:0 "з державою $WITH|Y$ @$TAG$ як ласку."
 FORCEDALLYBREAKALLIANCE_FAVOR_6:0 "Ми не забудемо цієї зневаги!"
 FORCEDALLYBREAKALLIANCE_FAVOR_LOG:0 "Держава $ACTOR$ попросила державу $RECIPIENT$ розірвати союз з нами як ласку."
 FORCEDALLYBREAKALLIANCE_FAVOR_BTN1:0 "Гаразд"
 FORCEDALLYBREAKALLIANCE_FAVOR_BTN2:0 "Гаразд"
 FORCEDALLYBREAKALLIANCE_FAVOR_BTN3:0 "Перейти"
 BREAKALLIANCE_FAVOR_DECLINED_TITLE:0 "Прохання розірвати союз як ласку було відхилено"
 BREAKALLIANCE_FAVOR_DECLINED_SETUP:0 "Коли держава відмовляється розірвати союз."
 BREAKALLIANCE_FAVOR_DECLINED_HEADER:0 "Запит на розрив союзу відхилено"
 BREAKALLIANCE_FAVOR_DECLINED_1:0 "Держава $RECIPIENT$"
 BREAKALLIANCE_FAVOR_DECLINED_2:0 "відхилила наше прохання розірвати їхній союз"
 BREAKALLIANCE_FAVOR_DECLINED_3:0 "з державою $WITH|Y$ @$TAG$ як ласку для нас."
 BREAKALLIANCE_FAVOR_DECLINED_6:0 "Ми не забудемо цього безчестя!"
 BREAKALLIANCE_FAVOR_DECLINED_LOG:0 "Держава $RECIPIENT$ відмовила в нашому проханню."
 BREAKALLIANCE_FAVOR_DECLINED_BTN1:0 "Сумно"
 BREAKALLIANCE_FAVOR_DECLINED_BTN2:0 "Сумно"
 BREAKALLIANCE_FAVOR_DECLINED_BTN3:0 "Перейти"
 WE_RETURN_CORE_TITLE:0 "Повернуто національну провінцію"
 WE_RETURN_CORE_SETUP:0 "Коли ми повертаємо національну провінцію союзнику."
 WE_RETURN_CORE_HEADER:0 "$MESSENGER$"
 WE_RETURN_CORE_1:0 "Провінцію повернено."
 WE_RETURN_CORE_2:0 "$MONARCHTITLE$, ми повернули"
 WE_RETURN_CORE_3:0 "провінцію $PROVINCE$"
 WE_RETURN_CORE_4:0 "державі"
 WE_RETURN_CORE_5:0 "$ACTOR$"
 WE_RETURN_CORE_6:0 "учинивши ласку нашому союзнику."
 WE_RETURN_CORE_LOG:0 "Ми повернули провінцію $PROV$ державі $ACTOR$."
 WE_RETURN_CORE_BTN1:0 "Гаразд"
 WE_RETURN_CORE_BTN2:0 "Гаразд"
 WE_RETURN_CORE_BTN3:0 "Перейти"
 WE_RETURN_CORE_MAP:0 "Повернено!"
 RETURN_CORE_TITLE:0 "Повернуто національну провінцію"
 RETURN_CORE_SETUP:0 "Коли ми отримуємо провінцію від союзника"
 RETURN_CORE_HEADER:0 "$MESSENGER$"
 RETURN_CORE_1:0 "Провінцію повернено."
 RETURN_CORE_2:0 "$MONARCHTITLE$, ми отримали нашу національну провінцію"
 RETURN_CORE_3:0 "$PROVINCE$"
 RETURN_CORE_4:0 "від держави"
 RETURN_CORE_5:0 "$RECIPIENT$"
 RETURN_CORE_6:0 "як ласку для нас."
 RETURN_CORE_LOG:0 "Ми отримали національну провінцію $PROVINCE$ від держави $RECIPIENT$."
 RETURN_CORE_BTN1:0 "Гаразд"
 RETURN_CORE_BTN2:0 "Гаразд"
 RETURN_CORE_BTN3:0 "Перейти"
 RETURN_CORE_MAP:0 "Повернено!"
 OTHER_RETURN_CORE_TITLE:0 "Повернуто національну провінцію"
 OTHER_RETURN_CORE_SETUP:0 "Коли держава повертає національну провінцію іншій державі як ласку."
 OTHER_RETURN_CORE_HEADER:0 "Вісник держави"
 OTHER_RETURN_CORE_1:0 "$RECIPIENT$"
 OTHER_RETURN_CORE_2:0 "Держава $RECIPIENT$ погодилась"
 OTHER_RETURN_CORE_3:0 "повернути одну зі своїх провінцій."
 OTHER_RETURN_CORE_4:0 "Якою б не була причина, провінція $PROVINCE$ тепер належить"
 OTHER_RETURN_CORE_5:0 "державі $ACTOR$"
 OTHER_RETURN_CORE_LOG:0 "Держава $RECIPIENT$ повертає провінцію $PROVINCE$ державі $ACTOR$."
 OTHER_RETURN_CORE_BTN1:0 "Гаразд"
 OTHER_RETURN_CORE_BTN2:0 "Гаразд"
 OTHER_RETURN_CORE_BTN3:0 "Перейти"
 OTHER_RETURN_CORE_MAP:0 "Повернено!"
 THEYDECLINE_RETURN_CORE_TITLE:0 "Declined Returning Core Province"
 THEYDECLINE_RETURN_CORE_SETUP:0 "When our request to return a province is declined."
 THEYDECLINE_RETURN_CORE_HEADER:0 "$MESSENGER$"
 THEYDECLINE_RETURN_CORE_1:0 "Return Declined"
 THEYDECLINE_RETURN_CORE_2:0 "$MONARCHTITLE$, $RECIPIENT$ has"
 THEYDECLINE_RETURN_CORE_3:0 "declined our request"
 THEYDECLINE_RETURN_CORE_4:0 "to return the excellent province of"
 THEYDECLINE_RETURN_CORE_5:0 "$PROVINCE$"
 THEYDECLINE_RETURN_CORE_LOG:0 "$RECIPIENT$ declined our request to return $PROV$"
 THEYDECLINE_RETURN_CORE_BTN1:0 "Гаразд"
 THEYDECLINE_RETURN_CORE_BTN2:0 "Гаразд"
 THEYDECLINE_RETURN_CORE_BTN3:0 "Перейти"
 refused_to_return_core_favor:0 "Refused to return a core province"
 RETURN_CORE_CANNOT_COST:0 "You need at least §Y$COST$§! Favors with §Y$COUNTRY$§! to ask them to return $PROVINCE$."
 RETURN_CORE_CANNOT_OPINION:0 "You need at least §Y$OPINION$§! Opinion with §Y$COUNTRY$§! to ask them to return a core province."
 RETURN_CORE_CANNOT_NO_CORE:0 "§Y$COUNTRY$§! do not have any of our core provinces."
 RETURN_CORE_CANNOT_NOT_NEIGHBOURING:0 "$PROVINCE|Y$ is not neighboring our territory."
 RETURN_CORE_CANNOT_CAPITAL:0 "$PROVINCE|Y$ is their capital."
 THEYNOTOWNPROV:0 "They are not the owner of $PROV|Y$"
 RETURN_CORE_REQDESC:0 "$ACTOR$ is asking us to return their core province of $PROV$ in exchange for favors. Do you accept?"
 RETURN_CORE_OFFDESC:0 "You will request that $RECIPIENT$ return our core province $PROV$ as a favor to their ally. This will cost $FAVOURS$ Favours."
 RETURN_CORE_OWN:0 "Вони не можуть повернути провінцію, яку не контролюють."
 RETURN_CORETITLE:0 "Повернути нац. провінцію"
 RETURN_CORE_FAVOR_DESC2:0 "Витратити прихильність, запросивши повернути нам одну з наших національних провінцій."
 reduced_opinion_favor:0 "Погіршили відносини за прихильність"
 refused_to_reduce_opinion_favor:0 "Відмовилися погіршити відносини з іншою державою"
 WE_REDUCED_OPINION_FAVOR_TITLE:0 "Reduced Opinion"
 WE_REDUCED_OPINION_FAVOR_SETUP:0 "When we ask a country to reduce their opinion of another country as a Favor."
 WE_REDUCED_OPINION_FAVOR_HEADER:0 "$MESSENGER$"
 WE_REDUCED_OPINION_FAVOR_1:0 "Reduced Opinion"
 WE_REDUCED_OPINION_FAVOR_2:0 "$MONARCHTITLE$, we have asked the Country of $RECIPIENT$ to"
 WE_REDUCED_OPINION_FAVOR_3:0 "Reduce their Opinion"
 WE_REDUCED_OPINION_FAVOR_4:0 "of $WITH|Y$ @$TAG$ as a favor to us."
 WE_REDUCED_OPINION_FAVOR_LOG:0 "We have asked $RECIPIENT$ to reduce their opinion of $WITH$ as a favor."
 WE_REDUCED_OPINION_FAVOR_BTN1:0 "Гаразд"
 WE_REDUCED_OPINION_FAVOR_BTN2:0 "Гаразд"
 WE_REDUCED_OPINION_FAVOR_BTN3:0 "Перейти"
 REDUCED_OPINION_FAVOR_TITLE:0 "Reduced Opinion"
 REDUCED_OPINION_FAVOR_SETUP:0 "When a Country asks us to reduce our opinion of another country as a favor."
 REDUCED_OPINION_FAVOR_HEADER:0 "Вісник держави"
 REDUCED_OPINION_FAVOR_1:0 "$ACTOR$"
 REDUCED_OPINION_FAVOR_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 REDUCED_OPINION_FAVOR_3:0 "Asked us to Reduce our Opinion"
 REDUCED_OPINION_FAVOR_4:0 "of $WITH|Y$ @$TAG$ as a favor."
 REDUCED_OPINION_FAVOR_5:0 "We are happy to help our allies!"
 REDUCED_OPINION_FAVOR_LOG:0 "$ACTOR$ has asked us to reduce our opinion of $WITH$."
 REDUCED_OPINION_FAVOR_BTN1:0 "Гаразд"
 REDUCED_OPINION_FAVOR_BTN2:0 "Гаразд"
 REDUCED_OPINION_FAVOR_BTN3:0 "Перейти"
 OTHER_REDUCED_OPINION_FAVOR_TITLE:0 "Reduce Opinion"
 OTHER_REDUCED_OPINION_FAVOR_SETUP:0 "When a Country asks a nation to reduce their opinion of another nation."
 OTHER_REDUCED_OPINION_FAVOR_HEADER:0 "Вісник держави"
 OTHER_REDUCED_OPINION_FAVOR_1:0 "$ACTOR$"
 OTHER_REDUCED_OPINION_FAVOR_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 OTHER_REDUCED_OPINION_FAVOR_3:0 "Asked $RECIPIENT$ to Reduce their Opinion"
 OTHER_REDUCED_OPINION_FAVOR_4:0 "of $WITH|Y$ @$TAG$ as a favor."
 OTHER_REDUCED_OPINION_FAVOR_6:0 "A sense of uncertainty of what happens next lingers..."
 OTHER_REDUCED_OPINION_FAVOR_LOG:0 "$ACTOR$ has asked $RECIPIENT$ to reduce their opinion of $WITH$ as a favor."
 OTHER_REDUCED_OPINION_FAVOR_BTN1:0 "Гаразд"
 OTHER_REDUCED_OPINION_FAVOR_BTN2:0 "Гаразд"
 OTHER_REDUCED_OPINION_FAVOR_BTN3:0 "Перейти"
 NATION_REDUCED_OPINION_OF_US_FAVOR_TITLE:0 "Reduce Opinion"
 NATION_REDUCED_OPINION_OF_US_FAVOR_SETUP:0 "When a Country asks our friend to reduce their opinion of us."
 NATION_REDUCED_OPINION_OF_US_FAVOR_HEADER:0 "Вісник держави"
 NATION_REDUCED_OPINION_OF_US_FAVOR_1:0 "$ACTOR$"
 NATION_REDUCED_OPINION_OF_US_FAVOR_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 NATION_REDUCED_OPINION_OF_US_FAVOR_3:0 "Asked our friend $RECIPIENT$ to Reduce their Opinion"
 NATION_REDUCED_OPINION_OF_US_FAVOR_4:0 "of $WITH|Y$ @$TAG$ as a favor."
 NATION_REDUCED_OPINION_OF_US_FAVOR_6:0 "We shall not forget this slight!"
 NATION_REDUCED_OPINION_OF_US_FAVOR_LOG:0 "$ACTOR$ has asked $RECIPIENT$ to reduce their opinion of us as a favor."
 NATION_REDUCED_OPINION_OF_US_FAVOR_BTN1:0 "Гаразд"
 NATION_REDUCED_OPINION_OF_US_FAVOR_BTN2:0 "Гаразд"
 NATION_REDUCED_OPINION_OF_US_FAVOR_BTN3:0 "Перейти"
 REDUCED_OPINION_FAVOR_DECLINED_TITLE:0 "A request to Reduce Opinion as a Favor has been declined"
 REDUCED_OPINION_FAVOR_DECLINED_SETUP:0 "When a nation declines to Reduce their Opinion of another nation."
 REDUCED_OPINION_FAVOR_DECLINED_HEADER:0 "Reduce Opinion request declined"
 REDUCED_OPINION_FAVOR_DECLINED_1:0 "$RECIPIENT$"
 REDUCED_OPINION_FAVOR_DECLINED_2:0 "has refused our request to reduce their Opinion"
 REDUCED_OPINION_FAVOR_DECLINED_3:0 "of $WITH|Y$ @$TAG$ as a favor to us."
 REDUCED_OPINION_FAVOR_DECLINED_6:0 "We will not forget this dishonor!"
 REDUCED_OPINION_FAVOR_DECLINED_LOG:0 "$RECIPIENT$ refused our request."
 REDUCED_OPINION_FAVOR_DECLINED_BTN1:0 "Сумно"
 REDUCED_OPINION_FAVOR_DECLINED_BTN2:0 "Сумно"
 REDUCED_OPINION_FAVOR_DECLINED_BTN3:0 "Перейти"
 REDUCE_OPINION_CANNOT_COST:1 "§RYou need at least §Y$COST$§! Favors with §Y$COUNTRY$§! to ask them to reduce their opinion of another Country.§!"
 REDUCE_OPINION_CANNOT_OPINION:1 "§RYou need at least §Y$OPINION$§! Opinion with §Y$COUNTRY$§! to ask them to reduce their opinion of another Country.§!"
 REDUCE_OPINION_FAVOR_DESC2:0 "Spend $FAVOR|Y$ Favors to get them to reduce their opinion of another Country."
 REDUCE_OPINION_REQDESC:0 "$ACTOR$ is asking us to lower our opinion of $WHOM$ in exchange for favors. Do you accept?"
 REDUCE_OPINIONTITLE:0 "Reduce Opinion"
 REDUCE_OPINION_CANNOT_ALLIANCE:0 "We have an Alliance with $WHOM$."
 REDUCE_OPINION_CANNOT_THEYRE_FRIENDS:0 "Our opinion of $WHOM$ is at least $OPINION$."
 REDUCE_OPINION_FAVOR_DESC:0 "We will ask $THEM|Y$ to change their opinion of $WITH|Y$ by $AMOUNT|R$ (Current: $CURRENT$)."
 REDUCE_OPINION_FAVOR_REQDES1:0 "$ACTOR|Y$ asks a favor that we reduce our opinion of $THEM|Y$.\nThis will cause our opinion of $THEM|Y$ to be lowered by $OPINION$."
 SELECT_COUNTRY_TO_REDUCE_RELATIONS_WITH:0 "Please select a Country for them to reduce their opinion of."
 BREAKALLIANCE_NOTHING_SELECTED_DESC:0 "Choose the Country that we want $THEM|Y$ to break their alliance with."
 WE_TRADE_FAVORS_FOR_GOLD_TITLE:0 "Trade Favors For Ducats"
 WE_TRADE_FAVORS_FOR_GOLD_SETUP:0 "When we ask a country to give us some cash as a Favor."
 WE_TRADE_FAVORS_FOR_GOLD_HEADER:0 "$MESSENGER$"
 WE_TRADE_FAVORS_FOR_GOLD_1:0 "Traded Favors For Ducats"
 WE_TRADE_FAVORS_FOR_GOLD_2:0 "$MONARCHTITLE$, we have asked the Country of $RECIPIENT$ to"
 WE_TRADE_FAVORS_FOR_GOLD_3:0 "give us $MONTHS$ month's income ($CASH|Y$¤)"
 WE_TRADE_FAVORS_FOR_GOLD_4:0 "in exchange for $FAVOR|Y$ Favors."
 WE_TRADE_FAVORS_FOR_GOLD_LOG:0 "We have asked $RECIPIENT$ to give us ducats as a favor."
 WE_TRADE_FAVORS_FOR_GOLD_BTN1:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_GOLD_BTN2:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_GOLD_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_GOLD_TITLE:0 "Trade Favors For Ducats"
 TRADE_FAVORS_FOR_GOLD_SETUP:0 "When a Country asks us for cash as a favor."
 TRADE_FAVORS_FOR_GOLD_HEADER:0 "Вісник держави"
 TRADE_FAVORS_FOR_GOLD_1:0 "$ACTOR$"
 TRADE_FAVORS_FOR_GOLD_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 TRADE_FAVORS_FOR_GOLD_3:0 "Asked us for $MONTHS$ month's income ($CASH|Y$¤)"
 TRADE_FAVORS_FOR_GOLD_4:0 "in exchange for $FAVOR|Y$ Favors."
 TRADE_FAVORS_FOR_GOLD_5:0 "We are happy to help our allies!"
 TRADE_FAVORS_FOR_GOLD_LOG:0 "$ACTOR$ has asked us for ducats as a favor."
 TRADE_FAVORS_FOR_GOLD_BTN1:0 "Гаразд"
 TRADE_FAVORS_FOR_GOLD_BTN2:0 "Гаразд"
 TRADE_FAVORS_FOR_GOLD_BTN3:0 "Перейти"
 OTHER_TRADE_FAVORS_FOR_GOLD_TITLE:0 "Trade Favors For Ducats"
 OTHER_TRADE_FAVORS_FOR_GOLD_SETUP:0 "When a Country asks a nation for cash as a favor."
 OTHER_TRADE_FAVORS_FOR_GOLD_HEADER:0 "Вісник держави"
 OTHER_TRADE_FAVORS_FOR_GOLD_1:0 "$ACTOR$"
 OTHER_TRADE_FAVORS_FOR_GOLD_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 OTHER_TRADE_FAVORS_FOR_GOLD_3:0 "Asked $RECIPIENT$ for $MONTHS$ month's income ($CASH|Y$¤)"
 OTHER_TRADE_FAVORS_FOR_GOLD_4:0 "in exchange for $FAVOR|Y$ Favors."
 OTHER_TRADE_FAVORS_FOR_GOLD_6:0 "A sense of uncertainty of what happens next lingers..."
 OTHER_TRADE_FAVORS_FOR_GOLD_LOG:0 "$ACTOR$ has asked $RECIPIENT$ for cash as a favor."
 OTHER_TRADE_FAVORS_FOR_GOLD_BTN1:0 "Гаразд"
 OTHER_TRADE_FAVORS_FOR_GOLD_BTN2:0 "Гаразд"
 OTHER_TRADE_FAVORS_FOR_GOLD_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_GOLD_DECLINED_TITLE:0 "A request for cash for Favors has been declined"
 TRADE_FAVORS_FOR_GOLD_DECLINED_SETUP:0 "When a nation declines to give ducats to another nation in exchange for Favors."
 TRADE_FAVORS_FOR_GOLD_DECLINED_HEADER:0 "Ducats for Favors request declined"
 TRADE_FAVORS_FOR_GOLD_DECLINED_1:0 "$RECIPIENT$"
 TRADE_FAVORS_FOR_GOLD_DECLINED_2:0 "has refused a request for $MONTHS$ month's income ($CASH|Y$¤)"
 TRADE_FAVORS_FOR_GOLD_DECLINED_3:0 "in exchange for $FAVOR|Y$ Favors"
 TRADE_FAVORS_FOR_GOLD_DECLINED_4:0 "From $ACTOR$."
 TRADE_FAVORS_FOR_GOLD_DECLINED_6:0 "We will not forget this dishonor!"
 TRADE_FAVORS_FOR_GOLD_DECLINED_LOG:0 "$RECIPIENT$ refused our request."
 TRADE_FAVORS_FOR_GOLD_DECLINED_BTN1:0 "Сумно"
 TRADE_FAVORS_FOR_GOLD_DECLINED_BTN2:0 "Сумно"
 TRADE_FAVORS_FOR_GOLD_DECLINED_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_GOLD_CANNOT_NO_CASH:0 "$COUNTRY$ do not have $CASH|Y$¤"
 TRADE_FAVORS_FOR_GOLD_CANNOT_NEGATIVE:0 "$COUNTRY$ are losing money"
 TRADE_FAVORS_FOR_GOLD_CANNOT_DEBT:0 "$COUNTRY$ are $AMOUNT|Y$¤ in debt"
 TRADE_FAVORS_FOR_GOLD_CANNOT_COST:0 "You need at least §Y$COST$§! Favors with §Y$COUNTRY$§! to ask them for cash."
 TRADE_FAVORS_FOR_GOLD_CANNOT_OPINION:0 "You need at least §Y$OPINION$§! Opinion with §Y$COUNTRY$§! to ask them for cash."
 TRADE_FAVORS_FOR_GOLD_DESC2:0 "Spend $FAVOR|Y$ Favors in exchange for $MONTHS$ month's income ($CASH|Y$¤)."
 TRADE_FAVORS_FOR_GOLD_DESC:0 "We will ask that $RECIPIENT|Y$ give us $MONTHS$ month's income ($CASH|Y$¤) in exchange for $FAVOR|Y$ Favors."
 WE_TRADE_FAVORS_FOR_MEN_TITLE:0 "Trade Favors For Soldiers"
 WE_TRADE_FAVORS_FOR_MEN_SETUP:0 "When we ask a country to give us some manpower as a Favor."
 WE_TRADE_FAVORS_FOR_MEN_HEADER:0 "$MESSENGER$"
 WE_TRADE_FAVORS_FOR_MEN_1:0 "Traded Favors For Soldiers"
 WE_TRADE_FAVORS_FOR_MEN_2:0 "$MONARCHTITLE$, we have asked the Country of $RECIPIENT$ to"
 WE_TRADE_FAVORS_FOR_MEN_3:0 "give us $MONTHS$ months' supply ($MEN|Y$) of Soldiers"
 WE_TRADE_FAVORS_FOR_MEN_4:0 "in exchange for $FAVOR|Y$ Favors."
 WE_TRADE_FAVORS_FOR_MEN_LOG:0 "We have asked $RECIPIENT$ to give us Soldiers as a favor."
 WE_TRADE_FAVORS_FOR_MEN_BTN1:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_MEN_BTN2:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_MEN_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_MEN_TITLE:0 "Trade Favors For Soldiers"
 TRADE_FAVORS_FOR_MEN_SETUP:0 "When a Country asks us for Soldiers as a favor."
 TRADE_FAVORS_FOR_MEN_HEADER:0 "Вісник держави"
 TRADE_FAVORS_FOR_MEN_1:0 "$ACTOR$"
 TRADE_FAVORS_FOR_MEN_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 TRADE_FAVORS_FOR_MEN_3:0 "Asked us for $MONTHS$ months' supply ($MEN|Y$) of Soldiers"
 TRADE_FAVORS_FOR_MEN_4:0 "in exchange for $FAVOR|Y$ Favors."
 TRADE_FAVORS_FOR_MEN_5:0 "We are happy to help our allies!"
 TRADE_FAVORS_FOR_MEN_LOG:0 "$ACTOR$ has asked us for Soldiers as a favor."
 TRADE_FAVORS_FOR_MEN_BTN1:0 "Гаразд"
 TRADE_FAVORS_FOR_MEN_BTN2:0 "Гаразд"
 TRADE_FAVORS_FOR_MEN_BTN3:0 "Перейти"
 OTHER_TRADE_FAVORS_FOR_MEN_TITLE:0 "Trade Favors For Soldiers"
